estimate,stderr,z,p,min90,max90,x
33.546308,198.86999,.16868462,.86604472,-293.56572,360.65834,-5
30.598325,130.27365,.23487731,.81430396,-183.68276,244.87941,-4
39.016539,77.49296,.50348495,.61462336,-88.448037,166.48112,-3
58.800952,40.159878,1.4641716,.14314708,-7.2561694,124.85807,-2
89.951562,16.669586,5.3961487,6.809e-08,62.532534,117.37059,-1
132.46837,2.4401868,54.28616,0,128.45462,136.48212,0
186.35138,18.017016,10.343077,4.499e-25,156.71602,215.98673,1
251.60058,47.78439,5.26533,1.399e-07,173.00225,330.19891,2
328.21598,91.943442,3.5697596,.00035731,176.98248,479.44949,3
416.19758,151.42237,2.7485871,.00598527,167.12994,665.26522,4
515.54538,226.54818,2.2756545,.0228667,142.90679,888.18397,5
626.25937,317.45374,1.9727579,.04852315,104.09444,1148.4243,6
748.33957,424.20081,1.7641163,.0777124,50.591321,1446.0878,7
881.78596,546.82133,1.6125669,.10683864,-17.655088,1781.227,8
1026.5985,685.33325,1.4979553,.13414487,-100.67433,2153.8714,9
1182.7773,839.74735,1.4084919,.15898547,-198.48414,2564.0388,10
1350.3223,1010.0705,1.3368595,.1812685,-311.09578,3011.7404,11
1529.2335,1196.3072,1.278295,.20114542,-438.51669,3496.9837,12
1719.5109,1398.4605,1.2295741,.21885663,-580.752,4019.7738,13
1921.1545,1616.5328,1.1884414,.23465955,-737.80531,4580.1142,14
2134.1642,1850.5255,1.1532747,.24879764,-909.67927,5178.0077,15
2358.5402,2100.4398,1.1228792,.2614888,-1096.3758,5813.4563,16
2594.2824,2366.2767,1.0963563,.27292288,-1297.8965,6486.4613,17
2841.3908,2648.0369,1.0730178,.28326313,-1514.2424,7197.0239,18
3099.8653,2945.7209,1.0523282,.29264898,-1745.4144,7945.1451,19
3369.7061,3259.3291,1.0338649,.30119931,-1991.4133,8730.8255,20
3650.9131,3588.862,1.0172899,.30901554,-2252.2396,9554.0657,21
3943.4862,3934.3197,1.0023299,.31618429,-2527.8937,10414.866,22
4247.4256,4295.7025,.98876159,.3227798,-2818.3762,11313.227,23
4562.7311,4673.0106,.97640078,.3288659,-3123.6872,12249.149,24
4889.4029,5066.2441,.96509422,.33449762,-3443.8271,13222.633,25
5227.4408,5475.4033,.9547134,.33972265,-3778.7961,14233.678,26
5576.845,5900.4881,.94514977,.34458242,-4128.5943,15282.284,27
5937.6153,6341.4988,.93631104,.34911306,-4493.2219,16368.453,28
6309.7519,6798.4353,.92811824,.35334624,-4872.6792,17492.183,29
6693.2546,7271.2979,.92050343,.35730974,-5266.9661,18653.475,30
7088.1236,7760.0864,.91340781,.3610281,-5676.0827,19852.33,31
7494.3587,8264.8011,.90678029,.36452299,-6100.0293,21088.747,32
7911.9601,8785.4418,.90057623,.36781368,-6538.8058,22362.726,33
8340.9276,9322.0088,.89475646,.37091729,-6992.4124,23674.268,34
8781.2613,9874.5019,.88928651,.37384912,-7460.849,25023.372,35
